Sn,Companies Name,Area,City,HR Mail ID,Career Link,Status,Roles,Packages,Experience,WFH/WFO,Skills,Date ,Follow-up-1(24hrs),Follow-up-2(48hrs),Follow-up-3(100 HRS),Shifts
COM46,Dell Technologies,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM47,Ericsson,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM48,Nokia,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM49,Qualcomm,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM50,Samsung R&D Institute India,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM51,OneHash,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM52,Ditto Insurance,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM53,WizCommerce,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM54,ChintaMoney,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM55,Fliqpay,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM56,Game Theory,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM57,Theranautilus,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM58,SHG Technologies,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM59,Zoko,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM60,SuperK,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM61,KreditBee Technologies,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM62,Tyke Invest,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM63,Leap Finance,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM64,CosIQ,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM65,Vahak,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM66,Drife,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM67,ApnaKlub,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM68,Eplane Company,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM69,Humit,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DA,6LPA,1.0,WFH,,16-01-2026,Yes,Yes,No,
COM70,Steerwise,Electronic City,Bangalore,dummy@hr.com,https://www.ibm.com/careers/search,Pending,DS,12LPA,2.0,WFH,,16-01-2026,Yes,Yes,No,
COM71,Pushpendar Ai,,,,,,,,,,,,,,,
COM72,TCS,,,,,,,,,,,,,,,
COM73,TCS,,,,,,,,,,,,,,,
